"SortIndex","VirtualDistance (m)","DepthOfCover (m)","ACVG_VSS_DB","Attenuation","DCVGPercentIR","CPCIPS_OnPotential","CPCIPS_InstantOffPotential","ACPSP_OnPotential","Latitude","Longitude","Pipe_Top_Elevation (m)","Pipe_Center_Elevation (m)","Pipe_Bottom_Elevation (m)","ALIASList","FeatureID","ROWALIASList","Comment"
8125,33739.7061838823,1.23,60,2.25002986298114,0,-1.094,-0.933,0.767,26.4918826045,90.8659637858333,37.355,37.1772,36.9994,,9000,,
8126,33741.0546019205,1.228,55,2.31688427599386,0,-1.089,-0.933,0.773,26.4918849844167,90.8659770456667,37.378,37.2002,37.0224,,9000,,
8127,33742.705649836,1.176,58,2.96614537234331,0,-1.099,-0.942,0.311,26.4918880194167,90.8659931973333,37.24,37.0622,36.8844,,9000,,
8128,33744.1547318894,1.15000000000001,58,2.31897185888698,0,-1.089,-0.945,0.303,26.4918883826111,90.8660076815556,37.351,37.1732,36.9954,,9000,,
8129,33745.5554657551,1.102,57,2.76946374350515,0,-1.087,-0.934,0.251,26.4918877970833,90.8660217139167,37.343,37.1652,36.9874,,9000,,
8130,33746.5806836875,1.088,56,3.77481938994709,0,-1.083,-0.949,0.361,26.491888424,90.8660319373333,37.427,37.2492,37.0714,,9000,,
8131,33748.943716294,1.096,57,3.2273267018307,0,-1.084,-0.944,1.205,26.4918926523889,90.866055165,37.435,37.2572,37.0794,,9000,,
8132,33750.6455816245,1.13200000000001,56,3.10119073180703,0,-1.088,-0.94,1.221,26.4918958153333,90.8660718101667,37.298,37.1202,36.9424,,9000,,
8133,33752.3379304927,1.2,56,3.90901480583435,0,-1.082,-0.929,1.008,26.491897391,90.8660886163333,37.139,36.9612,36.7834,,9000,,
8134,33753.6859922405,1.232,55,2.48208348402336,0,-1.074,-0.925,0.964,26.4918995643333,90.8661018749167,37.032,36.8542,36.6764,,9000,,
